2011-09-04 13:29:32 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:33:51 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:34:11 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:36:07 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:37:50 Warning: Warning (2): Missing argument 2 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
2011-09-04 13:37:50 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:40:09 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:40:43 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:40:44 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:40:45 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:40:54 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:40:56 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:40:59 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:42:17 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:42:35 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:43:12 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:43:29 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:43:31 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:43:31 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:43:31 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1052: Column 'created' in order clause is ambiguous</span> in [C:\WAMPS\apache\htdocs\cakephp\cake\libs\model\datasources\dbo_source.php, line 684]
2011-09-04 13:53:26 Warning: Warning (2): Missing argument 3 for PalestrasController::palestra() in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestras_controller.php, line 16]
